descripcion,configuracion,resp_tot_diag,sec_sol_id,res_pro,detalle_solucion_id,tip_pro
¿Algún miembro de su familia se ha enfermado del estómago que pudiese atribuir al consumo de agua? (que no sea por  contagio viral),"{""items"":[{""value"":1,""text"":""Si""},{""value"":2,""text"":""No""},{""value"":3,""text"":""N/A""}]}",1,1,1,,1
"¿Todos los miembros del hogar, incluso los niños y niñas, acostumbran lavarse las manos después de ir al baño?","{""items"":[{""value"":1,""text"":""Si""},{""value"":2,""text"":""No""},{""value"":3,""text"":""N/A""}]}",1,2,2,,1
¿Le pasa con regularidad que enchufa algún electrodoméstico y se le corta la luz?,"{""items"":[{""value"":1,""text"":""Si""},{""value"":2,""text"":""No""},{""value"":3,""text"":""N/A""}]}",1,3,1,,1
¿Ha sufrido algún incendio o principio de incendio?,"{""items"":[{""value"":1,""text"":""Si""},{""value"":2,""text"":""No""},{""value"":3,""text"":""N/A""}]}",1,3,1,,1
¿Alguna vez ha realizado reparaciones en su vivienda?,"{""items"":[{""value"":1,""text"":""Si""},{""value"":2,""text"":""No""},{""value"":3,""text"":""N/A""}]}",1,4,2,,1
¿Limpian techumbre o canaletas antes de cada invierno?,"{""items"":[{""value"":1,""text"":""Si""},{""value"":2,""text"":""No""},{""value"":3,""text"":""N/A""}]}",1,4,2,,1
¿Abren las cortinas y ventanas a diario?,"{""items"":[{""value"":1,""text"":""Si""},{""value"":2,""text"":""No""},{""value"":3,""text"":""N/A""}]}",1,5,2,,1
¿Cada persona que vive en este hogar tiene un lugar o espacio para desarrollar sus actividades? ,"{""items"":[{""value"":1,""text"":""Si""},{""value"":2,""text"":""No""},{""value"":3,""text"":""N/A""}]}",1,5,2,,1
"Si declaró realizar una actividad productiva en su hogar, ¿ésta le genera dificultades a algún miembro de su familia para utilizar  los espacios de la vivienda y su entorno? (Si no existe actividad productiva marcar N/A)","{""items"":[{""value"":1,""text"":""Si""},{""value"":2,""text"":""No""},{""value"":3,""text"":""N/A""}]}",1,6,1,,1
¿Algún miembro de su familia ha sufrido alguna caída en la vivienda o en su patio?,"{""items"":[{""value"":1,""text"":""Si""},{""value"":2,""text"":""No""},{""value"":3,""text"":""N/A""}]}",1,7,1,,1
